RAIS TRABALHADOR  ,,,,,
"(arquivos com separador ponto e virgula - "";"")",,,,,
"OBS: ao encontrar dados como ""-1"",  com ou sem zeros a esquerda, ""{ñ class}"" ou ""{ñclass}"" , ou parte do texto, considerar como ignorado.",,,,,
Nome,Descricao da Variável,Tamanho(em bytes),Categorias,Valor na Fonte,
BAIRRO_SP,Bairros do Municipio de São Paulo,4,(ver planilha correspondente contida neste arquivo),,
BAIRRO FORT,Bairros do município de Fortaleza,4,(ver planilha correspondente contida neste arquivo),,
BAIRRO_RJ,Bairros do município do Rio de Janeiro,4,(ver planilha correspondente contida neste arquivo),,
CAUS AFAST 1,Causa do primeiro afastamento do empregado/servidor no ano-base - a partir de 2002,2,ACI TRB TIP,10,
,,,ACI TRB TJT,20,
,,,DOEN REL TR,30,
,,,DOEN NREL TR,40,
,,,LIC MATERNID,50,
,,,SERV MILITAR,60,
,,,LIC SEM VENC,70,
,,,SEM AFASTAMENTOS,99,
,,,IGNORADO,-1,
CAUS AFAST 2,Causa do segundo afastamento do empregado/servidor no ano-base - a partir de 2002,2,ACI TRB TIP,10,
,,,ACI TRB TJT,20,
,,,DOEN REL TR,30,
,,,DOEN NREL TR,40,
,,,LIC MATERNID,50,
,,,SERV MILITAR,60,
,,,LIC SEM VENC,70,
,,,SEM AFASTAMENTOS,99,
,,,IGNORADO,-1,
CAUS AFAST 3,Causa do terceiro afastamento do empregado/servidor no ano-base - a partir de 2002,2,ACI TRB TIP,10,
,,,ACI TRB TJT,20,
,,,DOEN REL TR,30,
,,,DOEN NREL TR,40,
,,,LIC MATERNID,50,
,,,SERV MILITAR,60,
,,,LIC SEM VENC,70,
,,,SEM AFASTAMENTOS,99,
,,,IGNORADO,-1,
CAUSA DESLI ou Motivo de Desligamento,Causa do desligamento ,2,DEM COM JC,10,10 - Rescisão com justa causa por iniciativa do empregador ou servidor demitido
,,,DEM SEM JC,11,11 - Rescisão sem justa causa por iniciativa do empregador.
,,,TERM CONTR,12,12 - Término do contrato de trabalho.
,,,DESL COM JC,20,20 - Rescisão com justa causa por iniciativa do empregado (rescisão indireta).
,,,DESL SEM JC,21,21 - Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido
,,,POSS OUT CAR,22,22 - Posse em outro cargo inacumulável (específico para servidor público)
,,,TRANS C/ONUS,30,"30 - Transferência de empregado entre estabelecimentos da mesma empresa ou para outra empresa, com ônus para a cedente"
,,,TRANS S/ONUS,31,"31 - Transferência de empregado entre estabelecimentos da mesma empresa ou para outra empresa, sem ônus para a cedente"
,,,READAP/REDIS,32,32 - Readaptação ou redistribuição (específico para servidor publico)
,,,CESSAO,33,33 - Cessão
,,,REDISTRIBUIÇÃO,34,34 - Redistribuição (específico para servidor publico)
,,,MUD. REGIME,40,40 - Mudança de regime trabalhista.
,,,REFORMA,50,50 - Reforma de militar para a reserva remunerada.
,,,FALECIMENTO,60,60 - Falecimento.
,,,FALEC AC TRB,62,62 - Falecimento decorrente de acidente do trabalho típico (que ocorre no exercício de atividades profissionais a serviço da empresa)
,,,FALEC AC TIP,63,63 - Falecimento decorrente de acidente do trabalho de trajeto (ocorrido no trajeto residência-trabalho-residência)
,,,FALEC D PROF,64,64 - Falecimento decorrente de doença profissional.
,,,APOS TS CRES,70,"70 - Aposentadoria por tempo de serviço, com rescisão contratual."
,,,APOS TS SRES,71,"71 - Aposentadoria por tempo de serviço, sem rescisão contratual."
,,,APOS ID CRES,72,"72 - Aposentadoria por idade, com rescisão contratual."
,,,APOS IN ACID,73,"73 - Aposentadoria por invalidez, decorrente de acidente do trabalho."
,,,APOS IN DOEN,74,"74 - Aposentadoria por invalidez, decorrente de doença profissional."
,,,APOS COMPULS,75,75 - Aposentadoria compulsória.
,,,APOS IN OUTR,76,"76 - Aposentadoria por invalidez, exceto a decorrente de doença profissional ou acidente do trabalho."
,,,APOS ID SRES,78,"78 - Aposentadoria por idade, sem rescisão contratual."
,,,APOS ESP CRE,79,"79 - Aposentadoria especial, com rescisão contratual."
,,,APOS ESP SRE,80,"80 - Aposentadoria especial, sem rescisão contratual."
